Timestamp (us),Percentage (%),Power (dBm)
9467159874,100.000000,-50.000000
9468166366,100.000000,-50.000000
9469162868,100.000000,-50.000000
9470159396,98.000000,-51.000000
9471168356,100.000000,-49.000000
9472157363,96.000000,-52.000000
9473168864,98.000000,-51.000000
9474158212,90.000000,-55.000000
9475164347,94.000000,-53.000000
9476165447,88.000000,-56.000000
9477162361,84.000000,-58.000000
9478159743,90.000000,-55.000000
9479170330,94.000000,-53.000000
9480154343,96.000000,-52.000000
9481159154,96.000000,-52.000000
9482159454,92.000000,-54.000000
9483161327,82.000000,-59.000000
9484162822,94.000000,-53.000000
9485159324,88.000000,-56.000000
9486164997,86.000000,-57.000000
9487157318,82.000000,-59.000000
9488161334,68.000000,-66.000000
9489165306,74.000000,-63.000000
9490154312,66.000000,-67.000000
9491170792,66.000000,-67.000000
9492167294,66.000000,-67.000000
9493163792,76.000000,-62.000000
9494167812,68.000000,-66.000000
9495164287,76.000000,-62.000000
9496160786,70.000000,-65.000000
9497152291,68.000000,-66.000000
9498163777,66.000000,-67.000000
9499170268,82.000000,-59.000000
9500164270,86.000000,-57.000000
9501164824,96.000000,-52.000000
9502164763,80.000000,-60.000000
9503161265,92.000000,-54.000000
9504162758,84.000000,-58.000000
9505171746,96.000000,-52.000000
9506165750,98.000000,-51.000000
9507169761,100.000000,-49.000000
9508183177,100.000000,-49.000000
9509167737,100.000000,-49.000000
9510164267,94.000000,-53.000000
9511158241,74.000000,-63.000000
9512164729,78.000000,-61.000000
9513166224,80.000000,-60.000000
9514169384,72.000000,-64.000000
9515159254,72.000000,-64.000000
9516160718,66.000000,-67.000000
9517171371,66.000000,-67.000000
9518163709,70.000000,-65.000000
9519165700,72.000000,-64.000000
9520161701,78.000000,-61.000000
9521166350,82.000000,-59.000000
9522167189,82.000000,-59.000000
9523173678,72.000000,-64.000000
9524167679,68.000000,-66.000000
9525156687,72.000000,-64.000000
9526155684,88.000000,-56.000000
9527167169,84.000000,-58.000000
9528164102,92.000000,-54.000000
9529165176,92.000000,-54.000000
9530161660,90.000000,-55.000000
9531168148,96.000000,-52.000000
9532164646,86.000000,-57.000000
9533161177,82.000000,-59.000000
9534155148,100.000000,-50.000000
9535164156,98.000000,-51.000000
9536160631,88.000000,-56.000000
9537163819,80.000000,-60.000000
9538167792,82.000000,-59.000000
9539164269,70.000000,-65.000000
9540164107,70.000000,-65.000000
9541157598,70.000000,-65.000000
9542157103,68.000000,-66.000000
9543170258,66.000000,-67.000000
9544160819,74.000000,-63.000000
9545166578,72.000000,-64.000000
9546168069,82.000000,-59.000000
9547157075,76.000000,-62.000000
9548158569,64.000000,-68.000000
9549164225,72.000000,-64.000000
9550156559,82.000000,-59.000000
9551157219,76.000000,-62.000000
9552157047,84.000000,-58.000000
9553171028,90.000000,-55.000000
9554167524,92.000000,-54.000000
9555161525,92.000000,-54.000000
9556165517,92.000000,-54.000000
9557157017,82.000000,-59.000000
9558170173,88.000000,-56.000000
9559164434,98.000000,-51.000000
9560156735,92.000000,-54.000000
9561162984,84.000000,-58.000000
9562174466,98.000000,-51.000000
9563160971,86.000000,-57.000000
9564164960,66.000000,-67.000000
9565158959,74.000000,-63.000000
9566165959,74.000000,-63.000000
9567164440,58.000000,-71.000000
9568155954,72.000000,-64.000000
9569162426,66.000000,-67.000000
